case,n_customers,algorithm,time_ms,cost,valid_capacity,vehicles
small_20,20,Greedy,0.15600000915583223,764.0450205916303,True,4
small_20,20,Clarke-Wright,0.24590000975877047,627.1799917054911,True,5
small_20,20,Sweep,0.24040001153480262,654.2488450231107,True,5
medium_50,50,Greedy,0.607900001341477,1265.3537306669498,True,7
medium_50,50,Clarke-Wright,1.6952000005403534,947.5240339841786,True,7
medium_50,50,Sweep,1.5320999955292791,1039.1850711149586,True,7
medium_75,75,Greedy,1.0844999924302101,1644.3668937196057,True,9
medium_75,75,Clarke-Wright,6.652500000200234,1193.843943119431,True,9
medium_75,75,Sweep,3.640599999926053,1281.8847783079382,True,9
large_200,200,Greedy,7.729599994490854,2552.726453102768,True,14
large_200,200,Clarke-Wright,33.02839999378193,1910.4789154997477,True,14
large_200,200,Sweep,30.70350000052713,1959.430248954072,True,14
cvrplib_Vrp-All_A-n32-k5,31,Greedy,0.43000000005122274,1146.399631725379,True,5
cvrplib_Vrp-All_A-n32-k5,31,Clarke-Wright,0.749400001950562,843.688169346627,True,5
cvrplib_Vrp-All_A-n32-k5,31,Sweep,1.495499993325211,977.5175787063373,True,5
cvrplib_Vrp-All_A-n33-k5,32,Greedy,0.37569999403785914,978.1456610175787,True,5
cvrplib_Vrp-All_A-n33-k5,32,Clarke-Wright,0.7649000035598874,712.0478209658986,True,5
cvrplib_Vrp-All_A-n33-k5,32,Sweep,1.1863000108860433,737.8797670804505,True,5
cvrplib_Vrp-All_A-n33-k6,32,Greedy,0.36210000689607114,1043.274631692616,True,6
cvrplib_Vrp-All_A-n33-k6,32,Clarke-Wright,1.0402999905636534,776.2559893244658,True,7
cvrplib_Vrp-All_A-n33-k6,32,Sweep,1.0098999919136986,804.3421288142554,True,6
cvrplib_Vrp-All_A-n34-k5,33,Greedy,0.3938000008929521,946.7989933145091,True,5
cvrplib_Vrp-All_A-n34-k5,33,Clarke-Wright,1.7997000104514882,810.4113355896409,True,6
cvrplib_Vrp-All_A-n34-k5,33,Sweep,1.182599997264333,786.437001670363,True,5
cvrplib_Vrp-All_A-n36-k5,35,Greedy,0.4592000041157007,1103.4992844828946,True,5
cvrplib_Vrp-All_A-n36-k5,35,Clarke-Wright,1.398800013703294,828.4722357153081,True,5
cvrplib_Vrp-All_A-n36-k5,35,Sweep,1.1282999912509695,908.0727673051538,True,5
cvrplib_Vrp-All_A-n37-k5,36,Greedy,0.45870000030845404,948.545165657581,True,5
